88.9332  121.012  3.5
84.9744  120.439  3.5
84.9744  120.439  5
88.9332  121.012  5

88.9332  121.012  3.5
87.4497  117.297  3.5
87.4497  117.297  5
88.9332  121.012  5

88.9332  121.012  3.5
91.4085  117.87  3.5
91.4085  117.87  5
88.9332  121.012  5

88.9332  121.012  3.5
92.892  121.585  3.5
92.892  121.585  5
88.9332  121.012  5

88.9332  121.012  3.5
90.4167  124.727  3.5
90.4167  124.727  5
88.9332  121.012  5

88.9332  121.012  3.5
86.4579  124.154  3.5
86.4579  124.154  5
88.9332  121.012  5

88.9332  121.012  3.5
84.9744  120.439  3.5
84.9744  120.439  5
88.9332  121.012  5

