98.9879  128.933  3.5
100.471  132.648  3.5
100.471  132.648  5
98.9879  128.933  5

98.9879  128.933  3.5
96.5126  132.075  3.5
96.5126  132.075  5
98.9879  128.933  5

98.9879  128.933  3.5
95.0292  128.36  3.5
95.0292  128.36  5
98.9879  128.933  5

98.9879  128.933  3.5
97.5044  125.218  3.5
97.5044  125.218  5
98.9879  128.933  5

98.9879  128.933  3.5
101.463  125.791  3.5
101.463  125.791  5
98.9879  128.933  5

98.9879  128.933  3.5
102.947  129.506  3.5
102.947  129.506  5
98.9879  128.933  5

98.9879  128.933  3.5
100.471  132.648  3.5
100.471  132.648  5
98.9879  128.933  5

