91.0668  138.988  3.5
87.108  138.415  3.5
87.108  138.415  5
91.0668  138.988  5

91.0668  138.988  3.5
89.5833  135.273  3.5
89.5833  135.273  5
91.0668  138.988  5

91.0668  138.988  3.5
93.5421  135.846  3.5
93.5421  135.846  5
91.0668  138.988  5

91.0668  138.988  3.5
95.0256  139.561  3.5
95.0256  139.561  5
91.0668  138.988  5

91.0668  138.988  3.5
92.5503  142.703  3.5
92.5503  142.703  5
91.0668  138.988  5

91.0668  138.988  3.5
88.5915  142.13  3.5
88.5915  142.13  5
91.0668  138.988  5

91.0668  138.988  3.5
87.108  138.415  3.5
87.108  138.415  5
91.0668  138.988  5

