81.0121  131.067  3.5
82.4956  134.782  3.5
82.4956  134.782  5
81.0121  131.067  5

81.0121  131.067  3.5
78.5369  134.209  3.5
78.5369  134.209  5
81.0121  131.067  5

81.0121  131.067  3.5
77.0534  130.494  3.5
77.0534  130.494  5
81.0121  131.067  5

81.0121  131.067  3.5
79.5287  127.352  3.5
79.5287  127.352  5
81.0121  131.067  5

81.0121  131.067  3.5
83.4874  127.925  3.5
83.4874  127.925  5
81.0121  131.067  5

81.0121  131.067  3.5
84.9708  131.64  3.5
84.9708  131.64  5
81.0121  131.067  5

81.0121  131.067  3.5
82.4956  134.782  3.5
82.4956  134.782  5
81.0121  131.067  5

